2023-10-26 10:59:04:254 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.ArticleTag ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-26 10:59:04:377 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-26 12:31:27:953 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.ArticleTag ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-26 12:31:28:063 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-26 12:34:27:770 [http-nio-0.0.0.0-8989-exec-4] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @7a675056
2023-10-26 13:06:12:080 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.ArticleTag ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-26 13:06:12:186 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-26 13:06:14:920 [http-nio-0.0.0.0-8989-exec-1] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @7a675056
2023-10-26 13:10:43:671 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.ArticleTag ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-26 13:10:43:777 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-26 13:10:48:294 [http-nio-0.0.0.0-8989-exec-3] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @7a675056
2023-10-26 13:14:13:600 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.ArticleTag ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-26 13:14:13:703 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
